route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,scheduled_trip_id,trip_short_name,wheelchair_accessible,bikes_allowed
1,2-169,2959637_0046,1 Tech Ridge Park & Ride NB,1,1006,2,2959637,Tech Ridge Park & Ride,1,1
1,2-169,2959603_0047,1 Tech Ridge Park & Ride NB,1,1001,2,2959603,Tech Ridge Park & Ride,1,1
1,2-169,2959602_0048,1 Tech Ridge Park & Ride NB,1,1009,2,2959602,Tech Ridge Park & Ride,1,1
1,2-169,2959618_0049,1 Tech Ridge Park & Ride NB,1,1003,2,2959618,Tech Ridge Park & Ride,1,1
1,2-169,2959619_0050,1 Tech Ridge Park & Ride NB,1,1005,2,2959619,Tech Ridge Park & Ride,1,1
1,2-169,2959620_0051,1 Tech Ridge Park & Ride NB,1,1007,2,2959620,Tech Ridge Park & Ride,1,1
1,2-169,2959621_0052,1 Tech Ridge Park & Ride NB,1,1008,2,2959621,Tech Ridge Park & Ride,1,1
1,2-169,2959622_0053,1 Tech Ridge Park & Ride NB,1,1002,2,2959622,Tech Ridge Park & Ride,1,1
1,2-169,2959623_0054,1 Tech Ridge Park & Ride NB,1,1004,2,2959623,Tech Ridge Park & Ride,1,1
1,2-169,2959624_0055,1 Tech Ridge Park & Ride NB,1,1090,2,2959624,Tech Ridge Park & Ride,1,1
1,2-169,2959625_0056,1 Tech Ridge Park & Ride NB,1,1006,2,2959625,Tech Ridge Park & Ride,1,1
1,2-169,2959626_0057,1 Tech Ridge Park & Ride NB,1,1001,2,2959626,Tech Ridge Park & Ride,1,1
1,2-169,2959627_0058,1 Tech Ridge Park & Ride NB,1,1009,2,2959627,Tech Ridge Park & Ride,1,1
1,2-169,2959628_0059,1 Tech Ridge Park & Ride NB,1,1003,2,2959628,Tech Ridge Park & Ride,1,1
1,2-169,2959629_0060,1 Tech Ridge Park & Ride NB,1,1005,2,2959629,Tech Ridge Park & Ride,1,1
1,2-169,2959630_0061,1 Tech Ridge Park & Ride NB,1,1007,2,2959630,Tech Ridge Park & Ride,1,1
1,2-169,2959631_0062,1 Tech Ridge Park & Ride NB,1,1008,2,2959631,Tech Ridge Park & Ride,1,1
1,2-169,2959632_0063,1 Tech Ridge Park & Ride NB,1,1004,2,2959632,Tech Ridge Park & Ride,1,1
1,2-169,2959633_0064,1 Tech Ridge Park & Ride NB,1,1090,2,2959633,Tech Ridge Park & Ride,1,1
1,2-169,2959634_0065,1 Tech Ridge Park & Ride NB,1,1006,2,2959634,Tech Ridge Park & Ride,1,1
1,2-169,2959635_0066,1 Tech Ridge Park & Ride NB,1,1001,2,2959635,Tech Ridge Park & Ride,1,1
1,2-169,2959636_0067,1 Tech Ridge Park & Ride NB,1,1009,2,2959636,Tech Ridge Park & Ride,1,1
1,2-169,2959617_0068,1 Tech Ridge Park & Ride NB,1,1003,2,2959617,Tech Ridge Park & Ride,1,1
1,2-169,2959616_0069,1 Tech Ridge Park & Ride NB,1,1005,2,2959616,Tech Ridge Park & Ride,1,1
1,2-169,2959615_0070,1 Tech Ridge Park & Ride NB,1,1004,2,2959615,Tech Ridge Park & Ride,1,1
1,2-169,2959614_0071,1 Tech Ridge Park & Ride NB,1,1090,2,2959614,Tech Ridge Park & Ride,1,1
1,2-169,2959613_0072,1 Tech Ridge Park & Ride NB,1,1006,2,2959613,Tech Ridge Park & Ride,1,1
1,2-169,2959612_0073,1 Tech Ridge Park & Ride NB,1,1001,2,2959612,Tech Ridge Park & Ride,1,1
1,2-169,2959610_0074,1 Tech Ridge Park & Ride NB,1,1009,2,2959610,Tech Ridge Park & Ride,1,1
1,2-169,2959609_0075,1 Tech Ridge Park & Ride NB,1,1003,2,2959609,Tech Ridge Park & Ride,1,1
1,2-169,2959608_0076,1 Tech Ridge Park & Ride NB,1,1005,2,2959608,Tech Ridge Park & Ride,1,1
1,3-169,2959611_0077,1 Tech Ridge Park & Ride NB,1,1001,3,2959611,Tech Ridge Park & Ride,1,1
1,3-169,2959606_0078,1 Tech Ridge Park & Ride NB,1,1003,3,2959606,Tech Ridge Park & Ride,1,1
1,3-169,2959607_0079,1 Tech Ridge Park & Ride NB,1,1005,3,2959607,Tech Ridge Park & Ride,1,1
1,3-169,2959639_0080,1 Tech Ridge Park & Ride NB,1,1007,3,2959639,Tech Ridge Park & Ride,1,1
1,3-169,2959605_0081,1 Tech Ridge Park & Ride NB,1,1008,3,2959605,Tech Ridge Park & Ride,1,1
1,3-169,2959638_0082,1 Tech Ridge Park & Ride NB,1,1002,3,2959638,Tech Ridge Park & Ride,1,1
1,3-169,2959604_0083,1 Tech Ridge Park & Ride NB,1,1004,3,2959604,Tech Ridge Park & Ride,1,1
1,3-169,2959637_0084,1 Tech Ridge Park & Ride NB,1,1006,3,2959637,Tech Ridge Park & Ride,1,1
1,3-169,2959603_0085,1 Tech Ridge Park & Ride NB,1,1001,3,2959603,Tech Ridge Park & Ride,1,1
1,3-169,2959602_0086,1 Tech Ridge Park & Ride NB,1,1009,3,2959602,Tech Ridge Park & Ride,1,1
1,3-169,2959618_0087,1 Tech Ridge Park & Ride NB,1,1003,3,2959618,Tech Ridge Park & Ride,1,1
1,3-169,2959619_0088,1 Tech Ridge Park & Ride NB,1,1005,3,2959619,Tech Ridge Park & Ride,1,1
1,3-169,2959620_0089,1 Tech Ridge Park & Ride NB,1,1007,3,2959620,Tech Ridge Park & Ride,1,1
1,3-169,2959621_0090,1 Tech Ridge Park & Ride NB,1,1008,3,2959621,Tech Ridge Park & Ride,1,1
1,3-169,2959622_0091,1 Tech Ridge Park & Ride NB,1,1002,3,2959622,Tech Ridge Park & Ride,1,1
1,3-169,2959623_0092,1 Tech Ridge Park & Ride NB,1,1004,3,2959623,Tech Ridge Park & Ride,1,1
1,3-169,2959624_0093,1 Tech Ridge Park & Ride NB,1,1090,3,2959624,Tech Ridge Park & Ride,1,1
1,3-169,2959625_0094,1 Tech Ridge Park & Ride NB,1,1006,3,2959625,Tech Ridge Park & Ride,1,1
1,3-169,2959626_0095,1 Tech Ridge Park & Ride NB,1,1001,3,2959626,Tech Ridge Park & Ride,1,1
1,3-169,2959627_0096,1 Tech Ridge Park & Ride NB,1,1009,3,2959627,Tech Ridge Park & Ride,1,1
1,3-169,2959628_0097,1 Tech Ridge Park & Ride NB,1,1003,3,2959628,Tech Ridge Park & Ride,1,1
1,3-169,2959629_0098,1 Tech Ridge Park & Ride NB,1,1005,3,2959629,Tech Ridge Park & Ride,1,1
1,3-169,2959630_0099,1 Tech Ridge Park & Ride NB,1,1007,3,2959630,Tech Ridge Park & Ride,1,1
1,3-169,2959631_0100,1 Tech Ridge Park & Ride NB,1,1008,3,2959631,Tech Ridge Park & Ride,1,1
1,3-169,2959632_0101,1 Tech Ridge Park & Ride NB,1,1004,3,2959632,Tech Ridge Park & Ride,1,1
1,3-169,2959633_0102,1 Tech Ridge Park & Ride NB,1,1090,3,2959633,Tech Ridge Park & Ride,1,1
1,3-169,2959634_0103,1 Tech Ridge Park & Ride NB,1,1006,3,2959634,Tech Ridge Park & Ride,1,1
1,3-169,2959635_0104,1 Tech Ridge Park & Ride NB,1,1001,3,2959635,Tech Ridge Park & Ride,1,1
1,3-169,2959636_0105,1 Tech Ridge Park & Ride NB,1,1009,3,2959636,Tech Ridge Park & Ride,1,1
1,3-169,2959617_0106,1 Tech Ridge Park & Ride NB,1,1003,3,2959617,Tech Ridge Park & Ride,1,1
1,3-169,2959616_0107,1 Tech Ridge Park & Ride NB,1,1005,3,2959616,Tech Ridge Park & Ride,1,1
1,3-169,2959615_0108,1 Tech Ridge Park & Ride NB,1,1004,3,2959615,Tech Ridge Park & Ride,1,1
1,3-169,2959614_0109,1 Tech Ridge Park & Ride NB,1,1090,3,2959614,Tech Ridge Park & Ride,1,1
1,3-169,2959613_0110,1 Tech Ridge Park & Ride NB,1,1006,3,2959613,Tech Ridge Park & Ride,1,1
1,3-169,2959612_0111,1 Tech Ridge Park & Ride NB,1,1001,3,2959612,Tech Ridge Park & Ride,1,1
1,3-169,2959610_0112,1 Tech Ridge Park & Ride NB,1,1009,3,2959610,Tech Ridge Park & Ride,1,1
1,3-169,2959609_0113,1 Tech Ridge Park & Ride NB,1,1003,3,2959609,Tech Ridge Park & Ride,1,1
1,3-169,2959608_0114,1 Tech Ridge Park & Ride NB,1,1005,3,2959608,Tech Ridge Park & Ride,1,1
1,4-169,2959611_0115,1 Tech Ridge Park & Ride NB,1,1001,4,2959611,Tech Ridge Park & Ride,1,1
1,4-169,2959606_0116,1 Tech Ridge Park & Ride NB,1,1003,4,2959606,Tech Ridge Park & Ride,1,1
1,4-169,2959607_0117,1 Tech Ridge Park & Ride NB,1,1005,4,2959607,Tech Ridge Park & Ride,1,1
1,4-169,2959639_0118,1 Tech Ridge Park & Ride NB,1,1007,4,2959639,Tech Ridge Park & Ride,1,1
1,4-169,2959605_0119,1 Tech Ridge Park & Ride NB,1,1008,4,2959605,Tech Ridge Park & Ride,1,1
1,4-169,2959638_0120,1 Tech Ridge Park & Ride NB,1,1002,4,2959638,Tech Ridge Park & Ride,1,1
1,4-169,2959604_0121,1 Tech Ridge Park & Ride NB,1,1004,4,2959604,Tech Ridge Park & Ride,1,1
1,4-169,2959637_0122,1 Tech Ridge Park & Ride NB,1,1006,4,2959637,Tech Ridge Park & Ride,1,1
1,4-169,2959603_0123,1 Tech Ridge Park & Ride NB,1,1001,4,2959603,Tech Ridge Park & Ride,1,1
1,4-169,2959602_0124,1 Tech Ridge Park & Ride NB,1,1009,4,2959602,Tech Ridge Park & Ride,1,1
1,4-169,2959618_0125,1 Tech Ridge Park & Ride NB,1,1003,4,2959618,Tech Ridge Park & Ride,1,1
1,4-169,2959619_0126,1 Tech Ridge Park & Ride NB,1,1005,4,2959619,Tech Ridge Park & Ride,1,1
1,4-169,2959620_0127,1 Tech Ridge Park & Ride NB,1,1007,4,2959620,Tech Ridge Park & Ride,1,1
1,4-169,2959621_0128,1 Tech Ridge Park & Ride NB,1,1008,4,2959621,Tech Ridge Park & Ride,1,1
1,4-169,2959622_0129,1 Tech Ridge Park & Ride NB,1,1002,4,2959622,Tech Ridge Park & Ride,1,1
1,4-169,2959623_0130,1 Tech Ridge Park & Ride NB,1,1004,4,2959623,Tech Ridge Park & Ride,1,1
1,4-169,2959624_0131,1 Tech Ridge Park & Ride NB,1,1090,4,2959624,Tech Ridge Park & Ride,1,1
1,4-169,2959625_0132,1 Tech Ridge Park & Ride NB,1,1006,4,2959625,Tech Ridge Park & Ride,1,1
1,4-169,2959626_0133,1 Tech Ridge Park & Ride NB,1,1001,4,2959626,Tech Ridge Park & Ride,1,1
1,4-169,2959627_0134,1 Tech Ridge Park & Ride NB,1,1009,4,2959627,Tech Ridge Park & Ride,1,1
1,4-169,2959628_0135,1 Tech Ridge Park & Ride NB,1,1003,4,2959628,Tech Ridge Park & Ride,1,1
1,4-169,2959629_0136,1 Tech Ridge Park & Ride NB,1,1005,4,2959629,Tech Ridge Park & Ride,1,1
1,4-169,2959630_0137,1 Tech Ridge Park & Ride NB,1,1007,4,2959630,Tech Ridge Park & Ride,1,1
1,4-169,2959631_0138,1 Tech Ridge Park & Ride NB,1,1008,4,2959631,Tech Ridge Park & Ride,1,1
1,4-169,2959632_0139,1 Tech Ridge Park & Ride NB,1,1004,4,2959632,Tech Ridge Park & Ride,1,1
1,4-169,2959633_0140,1 Tech Ridge Park & Ride NB,1,1090,4,2959633,Tech Ridge Park & Ride,1,1
1,4-169,2959634_0141,1 Tech Ridge Park & Ride NB,1,1006,4,2959634,Tech Ridge Park & Ride,1,1
1,4-169,2959635_0142,1 Tech Ridge Park & Ride NB,1,1001,4,2959635,Tech Ridge Park & Ride,1,1
1,4-169,2959636_0143,1 Tech Ridge Park & Ride NB,1,1009,4,2959636,Tech Ridge Park & Ride,1,1
1,4-169,2959617_0144,1 Tech Ridge Park & Ride NB,1,1003,4,2959617,Tech Ridge Park & Ride,1,1
1,4-169,2959616_0145,1 Tech Ridge Park & Ride NB,1,1005,4,2959616,Tech Ridge Park & Ride,1,1
1,4-169,2959615_0146,1 Tech Ridge Park & Ride NB,1,1004,4,2959615,Tech Ridge Park & Ride,1,1
1,4-169,2959614_0147,1 Tech Ridge Park & Ride NB,1,1090,4,2959614,Tech Ridge Park & Ride,1,1
1,4-169,2959613_0148,1 Tech Ridge Park & Ride NB,1,1006,4,2959613,Tech Ridge Park & Ride,1,1
1,4-169,2959612_0149,1 Tech Ridge Park & Ride NB,1,1001,4,2959612,Tech Ridge Park & Ride,1,1
1,4-169,2959610_0150,1 Tech Ridge Park & Ride NB,1,1009,4,2959610,Tech Ridge Park & Ride,1,1
1,4-169,2959609_0151,1 Tech Ridge Park & Ride NB,1,1003,4,2959609,Tech Ridge Park & Ride,1,1
1,4-169,2959608_0152,1 Tech Ridge Park & Ride NB,1,1005,4,2959608,Tech Ridge Park & Ride,1,1
1,5-169,2959611_0153,1 Tech Ridge Park & Ride NB,1,1001,5,2959611,Tech Ridge Park & Ride,1,1
1,5-169,2959606_0154,1 Tech Ridge Park & Ride NB,1,1003,5,2959606,Tech Ridge Park & Ride,1,1
1,5-169,2959607_0155,1 Tech Ridge Park & Ride NB,1,1005,5,2959607,Tech Ridge Park & Ride,1,1
1,5-169,2959639_0156,1 Tech Ridge Park & Ride NB,1,1007,5,2959639,Tech Ridge Park & Ride,1,1
1,5-169,2959605_0157,1 Tech Ridge Park & Ride NB,1,1008,5,2959605,Tech Ridge Park & Ride,1,1
