amenity,amenity_category,name,geometry,icon,color
restaurant,Food Services,Waffle House,POINT (-97.65788861337138 30.329177307151078),cutlery,green
restaurant,Food Services,SLAB BBQ & Beer,POINT (-97.8784801 30.2353456),cutlery,green
restaurant,Food Services,Mia,POINT (-97.7231221 30.4007338),cutlery,green
pub,Food Services,Crown and Anchor Pub,POINT (-97.7356230371589 30.29254876786534),beer,green
bar,Food Services,Codependent Cocktails + Coffee,POINT (-97.7507931 30.2674513),beer,green
place_of_worship,Community Services,Corinth Baptist Church,POINT (-97.72225178205224 30.27677594962127),institution,orange
place_of_worship,Community Services,Trinity United Methodist Church,POINT (-97.7197337 30.3129801),institution,orange
restaurant,Food Services,Muse Fusion + Sushi,POINT (-97.7921827 30.2336573),cutlery,green
bar,Food Services,Buffalo Billiards,POINT (-97.7412007 30.2674314),beer,green
restaurant,Food Services,Las Palomas Restaurant and Bar,POINT (-97.800095 30.2718285),cutlery,green
theatre,Recreation,Centennial Plaza Amphitheater,POINT (-97.68124375927759 30.50575290808719),film,red
restaurant,Food Services,Mason's Famous Lobster Rolls,POINT (-97.7447359 30.2646193),cutlery,green
cinema,Recreation,Bob Bullock IMAX,POINT (-97.73894120590971 30.280581473271987),film,red
restaurant,Food Services,Sushi Hi,POINT (-97.7154058 30.3618059),cutlery,green
theatre,Recreation,Kleberg Stage,POINT (-97.75866657235652 30.264332021289608),film,red
restaurant,Food Services,TLC,POINT (-97.7631014 30.2558239),cutlery,green
restaurant,Food Services,Palermo Pasta House,POINT (-97.67782375917312 30.508568132302774),cutlery,green
restaurant,Food Services,The Omelettry,POINT (-97.7154666 30.3067572),cutlery,green
bar,Food Services,Mohawk,POINT (-97.7360877 30.2700576),beer,green
restaurant,Food Services,Fukumoto,POINT (-97.7317272 30.2646261),cutlery,green
place_of_worship,Community Services,Cameron Road Church of Christ,POINT (-97.69918296359793 30.318474709311467),institution,orange
place_of_worship,Community Services,First Unitarian Universalist Church of Austin,POINT (-97.73839361809928 30.317579683144885),institution,orange
restaurant,Food Services,Burger Bar,POINT (-97.7427998 30.2821105),cutlery,green
restaurant,Food Services,Burros Tex Mex Bar and Grill,POINT (-97.67119698070587 30.51885562760436),cutlery,green
place_of_worship,Community Services,Jesus Is Alive Ministries,POINT (-97.70009329541378 30.251810236079997),institution,orange
place_of_worship,Community Services,Redeemer Presbyterian Church,POINT (-97.70954254646341 30.28426086001331),institution,orange
bar,Food Services,Pete's Dueling Piano Bar,POINT (-97.7385615 30.266712),beer,green
place_of_worship,Community Services,Global Missions Fellowship Church,POINT (-97.8446494 30.2371361),institution,orange
restaurant,Food Services,SOHA,POINT (-97.7149075 30.3481635),cutlery,green
bar,Food Services,The Roof Top on 6th,POINT (-97.7390899 30.2668797),beer,green
restaurant,Food Services,Pappadeux's Seafood Kitchen,POINT (-97.7449763926084 30.41469287026057),cutlery,green
cafe,Food Services,OPA! Greek Cafe,POINT (-97.7695041249427 30.248923764546877),coffee,green
restaurant,Food Services,House of Three Gorges,POINT (-97.7153921 30.3617553),cutlery,green
cafe,Food Services,The Star Cafe,POINT (-97.7388481 30.2799893),coffee,green
restaurant,Food Services,Pelons Tex Mex,POINT (-97.73655165008692 30.268797143908728),cutlery,green
bar,Food Services,Chalmers,POINT (-97.72629671283235 30.25796467359152),beer,green
restaurant,Food Services,Sway,POINT (-97.7228731 30.4004878),cutlery,green
restaurant,Food Services,Woodland,POINT (-97.7510901 30.2464589),cutlery,green
cafe,Food Services,Feng Cha,POINT (-97.7137633 30.3239159),coffee,green
restaurant,Food Services,Bun Belly,POINT (-97.7166443 30.3370306),cutlery,green
restaurant,Food Services,Swank,POINT (-97.6780294082115 30.509105233750073),cutlery,green
restaurant,Food Services,Chuy's,POINT (-97.74779630493092 30.418557131831935),cutlery,green
restaurant,Food Services,Crepe Crazy,POINT (-97.7846524 30.241602),cutlery,green
place_of_worship,Community Services,Teri Road Baptist Church,POINT (-97.7547832 30.2041056),institution,orange
bar,Food Services,Futbol En Vivo,POINT (-97.6966509 30.3657169),beer,green
cafe,Food Services,Starbucks,POINT (-97.74443355855954 30.278086622782478),coffee,green
restaurant,Food Services,Veracruz All Natural,POINT (-97.70769964999998 30.2964296),cutlery,green
restaurant,Food Services,Salvation Pizza,POINT (-97.66402452230739 30.202386969176054),cutlery,green
restaurant,Food Services,Uchibā,POINT (-97.7500534 30.2658323),cutlery,green
bar,Food Services,Shiner's Saloon,POINT (-97.7434785 30.2669237),beer,green
place_of_worship,Community Services,Dayspring Chapel,POINT (-97.71909 30.3197152),institution,orange
restaurant,Food Services,Nomade,POINT (-97.7552994 30.2497111),cutlery,green
cafe,Food Services,Idlewild Coffee,POINT (-97.7496715 30.2765365),coffee,green
library,Community Services,Perry-Castañeda Library,POINT (-97.7382137109607 30.282735107534485),book,orange
restaurant,Food Services,Mama Fu's,POINT (-97.7493286 30.398259),cutlery,green
restaurant,Food Services,El Pollo Rico #3,POINT (-97.66928959817105 30.517661773129486),cutlery,green
bar,Food Services,Good Intentions,POINT (-97.73927999999998 30.266778300000002),beer,green
place_of_worship,Community Services,Saint Andrew Kim Taegon Catholic Church,POINT (-97.79288413547303 30.200733752656532),institution,orange
restaurant,Food Services,Flower Child,POINT (-97.8004828 30.2753219),cutlery,green
restaurant,Food Services,Gloria's Latin Cuisine,POINT (-97.726048 30.4001775),cutlery,green
theatre,Recreation,G. A. Bailey Center for the Performing Arts,POINT (-97.68227137106305 30.25852476833218),film,red
bar,Food Services,Hi Hat Public House,POINT (-97.7189075 30.2601996),beer,green
bar,Food Services,The Library,POINT (-97.7390182 30.2668647),beer,green
restaurant,Food Services,1618 Asian Fusion,POINT (-97.730369 30.245235),cutlery,green
restaurant,Food Services,Juan in a Million,POINT (-97.71896114220095 30.255321477583987),cutlery,green
restaurant,Food Services,Stubs BBQ,POINT (-97.7361950775525 30.268672666465346),cutlery,green
restaurant,Food Services,Uchi,POINT (-97.7597538651338 30.257520759313582),cutlery,green
restaurant,Food Services,68 Degrees Kitchen,POINT (-97.77298426239928 30.277881691182504),cutlery,green
restaurant,Food Services,Taquerias Arandinas,POINT (-97.6966756 30.3656894),cutlery,green
place_of_worship,Community Services,Community Church of God,POINT (-97.7322307 30.3049255),institution,orange
restaurant,Food Services,The Alcove,POINT (-97.67792978272279 30.508599318366187),cutlery,green
restaurant,Food Services,Lone Star Kolaches,POINT (-97.72966420820693 30.35586180203542),cutlery,green
restaurant,Food Services,Chinatown,POINT (-97.7833214 30.2415436),cutlery,green
bar,Food Services,ABGB,POINT (-97.7688434 30.2452596),beer,green
place_of_worship,Community Services,Praise Jesus Church,POINT (-97.68303516266215 30.378232450621038),institution,orange
theatre,Recreation,Moody Ampitheater at Waterloo Park,POINT (-97.73623127455295 30.27446728584803),film,red
cafe,Food Services,Simona's Coffee + Cocktails,POINT (-97.75610626701696 30.238164117186024),coffee,green
bar,Food Services,The Highball,POINT (-97.7631528 30.2561493),beer,green
restaurant,Food Services,Crawfish Shack & Oyster Bar,POINT (-97.6828197 30.43519),cutlery,green
place_of_worship,Community Services,Intervarsity Christian Church,POINT (-97.74328112024648 30.285259456488482),institution,orange
pub,Food Services,Gourmands Neighborhood Pub,POINT (-97.7153907 30.2625671),beer,green
bar,Food Services,The Dogwood,POINT (-97.723074 30.400873),beer,green
pub,Food Services,Foxy's Proper Pub,POINT (-97.74246881740153 30.264259993109032),beer,green
